,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bilibino,62,RU,1562524979,54,68.06,166.44,56.39,10.87
1,Craigieburn,75,AU,1562524979,93,-37.6,144.94,54.0,8.05
2,Lebu,40,ET,1562524979,77,8.96,38.73,62.6,2.24
3,Shubarshi,16,KZ,1562524711,36,48.59,57.19,77.27,7.18
4,Punta Arenas,90,CL,1562524980,93,-53.16,-70.91,42.8,8.05
5,Hokitika,63,NZ,1562524980,79,-42.72,170.96,46.85,12.39
6,Garissa,93,KE,1562524980,56,-0.46,39.64,79.61,20.11
7,Qaanaaq,100,GL,1562524980,51,77.48,-69.36,47.03,8.86
8,Arraial do Cabo,20,BR,1562524981,56,-22.97,-42.02,69.8,13.87
9,Ponta Delgada,75,PT,1562524921,83,37.73,-25.67,69.8,4.7
10,Ponta do Sol,0,BR,1562524981,31,-20.63,-46.0,66.83,4.0
11,Fairbanks,75,US,1562524962,49,64.84,-147.72,72.0,4.38
12,Pangody,100,RU,1562524981,57,65.85,74.49,60.71,17.09
13,Busselton,11,AU,1562524982,74,-33.64,115.35,53.01,14.14
14,Mataura,100,NZ,1562524982,75,-46.19,168.86,44.01,20.0
15,Hermanus,76,ZA,1562524982,79,-34.42,19.24,57.0,1.99
16,Saint-Philippe,1,CA,1562524982,46,45.36,-73.48,77.0,6.93
17,Constitucion,75,MX,1562524982,36,23.99,-104.67,78.01,12.33
18,Atuona,48,PF,1562524983,77,-9.8,-139.03,79.79,17.36
19,Cam Ranh,20,VN,1562524983,74,11.92,109.15,84.2,3.36
20,Ushuaia,0,AR,1562524983,82,-54.81,-68.31,37.4,5.82
21,Rikitea,100,PF,1562524983,79,-23.12,-134.97,71.69,35.28
22,Araouane,17,ML,1562524983,11,18.9,-3.53,108.95,7.25
23,Albany,75,US,1562524847,39,42.65,-73.75,82.0,8.05
24,Sao Joao da Barra,40,BR,1562524984,49,-21.64,-41.05,71.6,23.04
25,Pangnirtung,90,CA,1562524984,87,66.15,-65.72,48.2,2.24
26,Kodiak,40,US,1562524984,21,39.95,-94.76,86.0,7.2
27,Khatanga,98,RU,1562524984,84,71.98,102.47,43.43,17.45
28,Bredasdorp,73,ZA,1562524709,67,-34.53,20.04,57.2,6.93
29,Hobart,60,AU,1562524985,93,-42.88,147.33,42.01,6.93
30,Padang,100,ID,1562524985,82,-0.92,100.36,78.53,16.06
31,Longyearbyen,0,NO,1562524985,66,78.22,15.63,55.4,6.93
32,Alexandria,0,RO,1562524977,51,43.97,25.33,87.01,2.39
33,Carnarvon,11,ZA,1562524814,53,-30.97,22.13,49.55,11.32
34,Tullow,75,IE,1562524986,59,52.8,-6.74,69.01,6.93
35,Dikson,1,RU,1562524986,91,73.51,80.55,33.71,15.14
36,Rocha,17,UY,1562524986,53,-34.48,-54.34,50.81,4.54
37,Butaritari,100,KI,1562524987,87,3.07,172.79,78.89,12.12
38,Gamba,99,CN,1562524987,60,28.28,88.52,47.21,4.09
39,Upernavik,45,GL,1562524987,72,72.79,-56.15,43.79,11.81
40,Deputatskiy,21,RU,1562524987,80,69.3,139.9,50.27,2.84
41,Pisco,90,PE,1562524987,30,-13.71,-76.2,71.6,8.05
42,Saravan,75,AM,1562524988,36,39.72,45.65,80.6,6.93
43,Talnakh,20,RU,1562524988,87,69.49,88.39,48.2,22.37
44,Pangoa,39,PE,1562524988,52,-12.12,-73.0,74.93,4.47
45,Namibe,41,AO,1562524988,88,-15.19,12.15,68.45,5.39
46,Tokur,60,RU,1562524988,78,53.13,132.9,57.29,4.94
47,Hilo,75,US,1562524794,61,19.71,-155.08,82.99,3.36
48,Sarangani,54,PH,1562524989,76,5.4,125.46,82.31,3.56
49,Sainte-Maxime,0,FR,1562524989,62,43.31,6.64,89.01,8.05
50,Jamestown,0,AU,1562524989,89,-33.21,138.6,44.33,1.07
51,Touros,40,BR,1562524856,66,-5.2,-35.46,84.2,14.99
52,Kapaa,1,US,1562524989,69,22.08,-159.32,82.4,13.87
53,Valparaiso,1,US,1562524990,38,41.47,-87.06,82.99,10.29
54,Herrin,75,US,1562524990,66,37.8,-89.03,90.0,9.17
55,Tuy Hoa,53,VN,1562524990,74,13.08,109.3,77.99,6.29
56,Avarua,75,CK,1562524990,68,-21.21,-159.78,71.6,12.75
57,Hithadhoo,0,MV,1562524990,75,-0.6,73.08,84.11,11.74
58,Porto Novo,40,BR,1562524991,51,-23.68,-45.44,60.8,6.93
59,Northam,0,AU,1562524991,87,-31.65,116.67,48.2,5.82
60,Ostrovnoy,1,RU,1562524991,86,68.05,39.51,41.63,18.03
61,Felipe Carrillo Puerto,86,MX,1562524991,40,19.58,-88.05,95.09,5.21
62,Yatou,100,CM,1562524991,90,3.63,9.81,75.83,19.06
63,Kasumkent,76,RU,1562524992,66,41.68,48.15,67.01,3.89
64,Ixtapa,40,MX,1562524992,43,20.71,-105.21,90.0,9.17
65,Gilgit,87,PK,1562524992,47,35.92,74.31,57.29,4.68
66,Geraldton,75,CA,1562524992,35,49.72,-86.95,73.4,8.05
67,Saint Anthony,1,US,1562524993,29,43.97,-111.68,80.01,13.87
68,Hasaki,75,JP,1562524993,93,35.73,140.83,64.4,18.34
69,Vaini,83,IN,1562524993,88,15.34,74.49,78.35,8.14
70,Klaksvik,90,FO,1562524993,81,62.23,-6.59,50.0,10.29
71,Paidha,100,UG,1562524993,95,2.42,30.99,62.33,2.62
72,Salon,88,IN,1562524994,60,26.03,81.45,90.95,7.47
73,Severo-Kurilsk,100,RU,1562524994,98,50.68,156.12,42.53,2.75
74,Tuatapere,100,NZ,1562524994,75,-46.13,167.69,44.01,20.0
75,Rio Grande,0,BR,1562524994,43,-32.03,-52.1,55.4,2.04
76,Lamar,1,US,1562524995,37,38.09,-102.62,84.2,16.11
77,Kruisfontein,11,ZA,1562524995,84,-34.0,24.73,51.71,13.71
78,Walvis Bay,0,NA,1562524995,68,-22.95,14.51,71.6,2.24
79,Honiara,40,SB,1562524995,100,-9.43,159.96,75.2,18.57
80,Shanghai,0,CN,1562524710,74,31.23,121.49,82.0,2.24
81,Kahului,40,US,1562524996,78,20.89,-156.47,79.0,5.82
82,Kavieng,99,PG,1562524996,71,-2.57,150.8,83.39,9.35
83,Kaitangata,100,NZ,1562524996,61,-46.28,169.85,43.0,24.0
84,Hue,20,VN,1562524996,66,16.47,107.58,84.2,2.24
85,Solnechnyy,25,RU,1562524996,92,50.72,136.64,62.87,2.15
86,Kingussie,20,GB,1562524997,62,57.08,-4.05,62.01,9.17
87,Castro,90,CL,1562524997,100,-42.48,-73.76,50.0,18.34
88,Nacala,19,MZ,1562524997,89,-14.56,40.69,68.99,5.37
89,Saint-Joseph,0,FR,1562524997,23,43.56,6.97,95.0,5.82
90,Noumea,40,NC,1562524747,77,-22.28,166.46,60.8,24.05
91,Fort Nelson,90,CA,1562524998,77,58.81,-122.69,59.0,3.36
92,Naze,100,NG,1562524998,96,5.43,7.07,72.41,7.78
93,Los Alamos,100,US,1562524998,63,35.88,-106.3,75.0,6.93
94,Hovd,75,NO,1562524998,76,63.83,10.7,59.0,5.82
95,Comodoro Rivadavia,0,AR,1562524998,81,-45.87,-67.48,50.0,4.7
96,Fallon,1,US,1562524952,48,46.84,-105.12,84.2,12.75
97,Laguna,40,BZ,1562524811,79,16.17,-88.94,86.0,6.93
98,Chokurdakh,100,RU,1562524999,89,70.62,147.9,45.05,11.03
99,Bowen,75,AU,1562524999,88,-20.01,148.25,69.01,10.29
100,Esperance,0,AU,1562524999,81,-33.86,121.89,48.2,11.41
101,Rudraprayag,21,IN,1562524999,86,30.29,78.98,68.63,2.75
102,New Norfolk,60,AU,1562525000,93,-42.78,147.06,42.01,6.93
103,Kaeo,60,NZ,1562525000,95,-35.1,173.78,45.0,1.99
104,Morondava,5,MG,1562525000,68,-20.3,44.28,75.29,13.56
105,Chuy,0,UY,1562525000,51,-33.69,-53.46,49.91,4.38
106,Haines Junction,17,CA,1562525001,44,60.75,-137.51,67.73,4.7
107,Fez,0,MA,1562525001,42,34.03,-5.02,82.4,5.82
108,Goderich,0,CA,1562525001,52,43.74,-81.71,80.01,5.01
109,Lompoc,90,US,1562524825,87,34.64,-120.46,64.99,9.17
110,Barrow,100,AR,1562525001,56,-38.31,-60.23,54.41,13.09
111,Port Hawkesbury,1,CA,1562525001,60,45.62,-61.36,72.0,8.05
112,Georgetown,75,GY,1562524812,55,6.8,-58.16,91.4,13.87
113,Houston,75,US,1562524903,49,29.76,-95.37,95.0,3.98
114,Bambanglipuro,43,ID,1562525002,82,-7.95,110.28,76.55,19.64
115,Aitape,73,PG,1562525002,83,-3.15,142.36,76.55,4.41
116,Cape Town,40,ZA,1562524892,87,-33.93,18.42,57.99,9.17
117,Mar del Plata,100,AR,1562525002,65,-46.43,-67.52,45.59,7.9
118,Ribeira Grande,40,PT,1562525003,88,38.52,-28.7,73.4,11.41
119,East London,0,ZA,1562525003,62,-33.02,27.91,57.2,12.75
120,Port Hedland,0,AU,1562525003,76,-20.31,118.58,57.2,8.05
121,Bluff,99,AU,1562525003,83,-23.58,149.07,61.61,11.39
122,Meulaboh,100,ID,1562525004,66,4.14,96.13,84.47,5.1
123,Kununurra,8,AU,1562525004,71,-15.77,128.74,57.2,3.36
124,Tautira,20,PF,1562525004,78,-17.73,-149.15,80.01,4.7
125,Novyy Urgal,42,RU,1562525004,95,51.07,132.56,60.17,2.44
126,Rio Gallegos,75,AR,1562525004,75,-51.62,-69.22,46.4,4.7
127,Khonsa,100,IN,1562525005,99,26.99,95.51,70.25,2.21
128,Pustoshka,76,RU,1562525005,93,56.34,29.37,54.95,7.23
129,Tromso,0,NO,1562525005,52,69.65,18.96,68.0,18.34
130,Mitsamiouli,0,KM,1562525005,79,-11.38,43.28,78.35,18.86
131,Corcoran,1,US,1562525005,21,36.1,-119.56,90.0,6.93
132,Mosquera,40,CO,1562525006,45,4.71,-74.23,68.0,12.75
133,Port Elizabeth,90,US,1562525006,83,39.31,-74.98,88.0,9.17
134,Lagoa,20,PT,1562525006,73,37.14,-8.45,79.0,23.04
135,Rancho Palos Verdes,90,US,1562524732,82,33.75,-118.37,71.01,11.41
136,Formosa,0,BR,1562525006,31,-15.55,-47.33,81.59,1.43
137,Kathu,0,ZA,1562525007,58,-27.7,23.05,54.0,6.87
138,Mbumi,41,TZ,1562525007,95,-7.91,39.21,70.79,3.69
139,Westport,75,US,1562525007,65,41.14,-73.36,84.99,9.17
140,Kenai,1,US,1562525007,77,60.55,-151.26,66.99,3.36
141,Abnub,0,EG,1562525007,14,27.27,31.15,89.87,10.49
142,Port-Gentil,40,GA,1562524830,88,-0.72,8.78,75.2,6.93
143,College,75,US,1562525008,49,64.86,-147.8,72.0,4.38
144,Yellowknife,75,CA,1562525008,66,62.45,-114.38,51.8,13.87
145,Quatre Cocos,40,MU,1562525008,78,-20.21,57.76,73.4,9.17
146,Namtsy,40,RU,1562525009,72,62.72,129.66,59.0,2.24
147,Christchurch,22,NZ,1562524888,100,-43.53,172.64,42.01,6.93
148,La Ronge,90,CA,1562525009,100,55.1,-105.3,60.8,3.36
149,Fortuna,90,US,1562525009,82,40.6,-124.16,73.0,9.17
150,San Cristobal,51,HN,1562525010,44,14.68,-86.92,86.99,7.63
151,El Tigre,55,VE,1562524810,63,8.89,-64.25,84.11,8.66
152,Clyde River,75,CA,1562525010,93,70.47,-68.59,37.4,9.17
153,Port Alfred,8,ZA,1562525010,82,-33.59,26.89,57.99,5.99
154,Vardo,75,US,1562525010,66,39.62,-77.74,87.01,4.7
155,Tandalti,56,SD,1562525011,54,13.01,31.87,83.39,7.05
156,Salinopolis,44,BR,1562525011,79,-0.61,-47.36,81.05,13.71
157,Rugeley,0,GB,1562525011,45,52.76,-1.94,69.01,5.82
158,Puerto Ayora,75,EC,1562525011,58,-0.74,-90.35,82.4,12.75
159,Liverpool,0,GB,1562524962,42,53.41,-2.98,69.01,10.29
160,Mahebourg,40,MU,1562525011,78,-20.41,57.7,73.4,9.17
161,Eureka,1,US,1562525012,72,40.8,-124.16,72.0,8.05
162,Wajid,100,SO,1562525012,56,3.81,43.25,82.31,17.56
163,Ugoofaaru,35,MV,1562525012,77,5.67,73.0,84.29,11.92
164,Venafro,0,IT,1562525012,69,41.48,14.05,82.4,9.17
165,Maldonado,0,UY,1562525006,51,-34.91,-54.96,57.2,3.36
166,Ambilobe,13,MG,1562525013,86,-13.19,49.05,74.39,2.89
167,Matara,89,BI,1562525013,88,-3.48,29.48,52.43,1.7
168,Tuktoyaktuk,90,CA,1562525013,80,69.44,-133.03,41.0,5.82
169,Arlit,0,NE,1562525013,5,18.74,7.39,104.45,17.05
170,Adeje,100,NG,1562525014,86,5.68,5.76,77.09,10.2
171,Otane,5,NZ,1562525014,81,-39.89,176.62,48.0,8.01
172,Schmalkalden,0,DE,1562525014,45,50.72,10.45,64.0,11.41
173,Iqaluit,75,CA,1562525015,48,63.75,-68.52,62.6,10.29
174,Victoria,75,BN,1562524992,88,5.28,115.24,82.4,3.22
175,Ellsworth,40,US,1562525015,58,38.73,-98.23,88.0,4.7
176,Saskylakh,96,RU,1562525015,90,71.97,114.09,45.95,5.48
177,Port Keats,0,AU,1562525015,43,-14.25,129.55,65.57,10.0
178,Buin,90,CL,1562525016,76,-33.73,-70.74,53.6,2.24
179,Doha,0,QA,1562525016,27,25.29,51.53,100.4,6.93
180,Tabou,76,CI,1562525016,84,4.42,-7.36,75.29,5.77
181,Lavrentiya,15,RU,1562525016,35,65.58,-170.99,68.63,2.1
182,Lorengau,93,PG,1562525017,86,-2.02,147.27,76.91,3.65
183,Caucaia,40,BR,1562525017,66,-3.73,-38.66,86.0,10.29
184,Karacabey,0,TR,1562525017,40,40.21,28.36,81.0,1.01
185,Kavaratti,100,IN,1562525017,79,10.57,72.64,84.29,17.29
186,Henties Bay,0,NA,1562525018,91,-22.12,14.28,55.99,12.03
187,Canico,20,PT,1562525018,57,32.63,-16.85,75.2,11.41
188,Kuryk,0,KZ,1562525018,25,43.18,51.68,85.01,15.3
189,Ballarpur,99,IN,1562525018,78,19.85,79.35,79.61,12.46
190,Dharchula,94,IN,1562525018,92,29.85,80.53,55.85,0.34
191,Vila,0,IT,1562525019,52,45.18,8.4,88.0,9.17
192,Sibolga,99,ID,1562525019,75,1.74,98.78,82.13,5.97
193,Verkhovazhye,99,RU,1562525019,80,60.75,42.05,58.19,3.78
194,Agropoli,75,IT,1562525019,10,40.35,15.0,84.0,1.99
195,Kodino,100,RU,1562525019,95,63.72,39.64,56.21,6.33
196,Edd,63,ER,1562525020,57,13.93,41.69,88.97,3.22
197,La Mana,75,EC,1562525020,58,-0.93,-79.22,59.0,16.11
198,Ust-Kuyga,9,RU,1562525020,64,70.0,135.55,59.09,1.03
199,Sao Gabriel da Cachoeira,40,BR,1562525020,94,-0.13,-67.09,77.0,4.7
200,Yulara,0,AU,1562525020,61,-25.24,130.99,50.0,6.93
201,Srednekolymsk,76,RU,1562525021,62,67.46,153.71,61.97,6.53
202,Darab,54,IR,1562525021,26,28.75,54.55,80.15,7.29
203,Taywarah,0,AF,1562525021,20,33.35,64.42,67.01,6.33
204,Nhulunbuy,15,AU,1562525022,88,-12.18,136.78,71.6,5.82
205,Takestan,0,IR,1562525022,70,36.07,49.69,60.89,9.82
206,Marshalltown,1,US,1562525022,44,42.04,-92.91,81.0,10.29
207,Bahia Blanca,100,AR,1562524739,46,-38.72,-62.27,58.01,13.94
208,Okhotsk,0,RU,1562525023,93,59.36,143.24,43.43,3.87
209,Qaqortoq,67,GL,1562525023,22,60.72,-46.03,64.4,35.57
210,Katsuura,20,JP,1562525023,83,33.93,134.5,73.4,3.36
211,Nabire,100,ID,1562525023,97,-3.36,135.5,69.53,2.86
212,Guararapes,0,BR,1562525024,37,-21.25,-50.65,64.85,8.86
213,Mayya,40,RU,1562525024,72,61.74,130.28,59.0,2.24
214,Haimen,41,CN,1562525024,74,31.87,121.18,78.01,5.12
215,Airai,36,TL,1562525024,81,-8.93,125.41,65.93,5.86
216,Berlevag,20,NO,1562525025,81,70.86,29.09,44.6,8.05
217,Beaverlodge,90,CA,1562525025,72,55.21,-119.43,64.4,3.36
218,Waddan,0,LY,1562525025,14,29.16,16.14,92.03,10.49
219,Pampa,40,US,1562524736,42,35.54,-100.96,84.99,11.16
220,San Juan,39,AR,1562525025,29,-31.54,-68.53,56.39,3.53
221,La Cruz,100,MX,1562525026,52,23.92,-106.89,91.99,8.99
222,Saurimo,25,AO,1562525026,22,-9.66,20.4,66.47,5.82
223,Gangakher,75,IN,1562525026,77,18.95,76.75,78.53,9.04
224,Quesnel,75,CA,1562525026,82,52.98,-122.49,60.8,5.82
225,Tecoanapa,5,MX,1562525027,66,16.99,-99.26,89.6,3.36
226,Kiomboi,85,TZ,1562525027,50,-4.28,34.41,73.31,9.04
227,Isangel,33,VU,1562525027,78,-19.55,169.27,72.59,23.26
228,Teguldet,6,RU,1562525027,83,57.31,88.17,57.83,7.58
229,Verkhnevilyuysk,42,RU,1562525028,95,63.45,120.31,61.25,4.63
230,Kaltasy,28,RU,1562525028,92,55.97,54.79,53.15,9.57
231,Sandwick,80,GB,1562525028,62,54.57,-2.89,68.0,9.17
232,Thompson,75,CA,1562525029,31,55.74,-97.86,77.0,5.82
233,Pringsewu,55,ID,1562525029,97,-5.36,104.98,72.23,3.11
234,Kromy,78,RU,1562525029,95,52.69,35.77,54.05,3.29
235,Sitka,84,US,1562525029,66,37.17,-99.65,84.0,3.0
236,Port Lincoln,0,AU,1562525030,72,-34.72,135.86,58.19,13.2
237,Zheleznodorozhnyy,0,RU,1562525030,67,55.75,38.0,61.0,4.47
238,Dolinsk,90,RU,1562525030,93,47.32,142.8,51.8,4.47
239,Bonthe,100,SL,1562525030,81,7.53,-12.5,78.35,13.69
240,Ahipara,50,NZ,1562525030,70,-35.17,173.16,56.39,22.06
241,Sadao,20,TH,1562525031,94,6.63,100.42,78.8,3.36
242,Lat Yao,100,TH,1562525031,83,15.75,99.79,76.55,4.38
243,Provideniya,73,RU,1562525031,42,64.42,-173.23,65.21,0.22
244,Clinton,1,US,1562525031,42,41.28,-72.53,84.99,3.36
245,Belmont,75,CA,1562525032,61,42.88,-81.08,79.0,10.29
246,Presidencia Roque Saenz Pena,10,AR,1562525032,35,-26.79,-60.44,59.09,7.63
247,Saint-Augustin,20,CA,1562525032,43,45.63,-73.98,77.0,5.82
248,Tasiilaq,49,GL,1562525032,61,65.61,-37.64,50.0,3.36
249,Jinchang,81,CN,1562525033,69,38.52,102.19,51.71,1.77
250,Yumen,53,CN,1562525033,62,40.29,97.04,59.45,3.83
251,Inyonga,100,TZ,1562525033,44,-6.72,32.06,71.33,5.61
252,Cidreira,89,BR,1562525033,66,-30.17,-50.22,51.53,4.68
253,Concarneau,0,FR,1562525034,56,47.88,-3.92,80.01,9.17
254,Montrose,20,GB,1562525034,67,56.71,-2.47,61.0,11.45
255,Saint-Pierre,0,FR,1562525034,64,48.95,4.24,71.01,16.11
256,Pevek,87,RU,1562525034,76,69.7,170.27,43.97,19.71
257,Shenjiamen,21,CN,1562525035,76,29.96,122.3,76.73,9.93
258,Vaitape,10,PF,1562525035,82,-16.52,-151.75,78.35,14.56
259,Hobyo,81,SO,1562525035,72,5.35,48.53,79.25,23.0
260,Usakos,0,NA,1562525035,19,-22.0,15.59,61.43,7.65
261,Shaowu,100,CN,1562525035,97,27.34,117.49,68.81,3.53
262,Sungaipenuh,100,ID,1562524920,95,-2.08,101.38,72.05,2.95
263,Puno,0,PE,1562525036,19,-15.84,-70.03,59.0,5.82
264,Nikolskoye,20,RU,1562525036,52,59.7,30.79,64.4,4.47
265,Lock Haven,75,US,1562525036,58,41.14,-77.45,86.0,5.82
266,Tiksi,44,RU,1562525036,78,71.64,128.87,41.27,4.99
267,Egra,70,IN,1562525036,67,21.9,87.54,85.91,14.25
268,Bonoua,20,CI,1562525037,88,5.27,-3.6,77.0,9.17
269,Torbay,20,CA,1562524888,64,47.66,-52.73,75.99,16.11
270,Waitati,100,NZ,1562525037,72,-45.75,170.57,44.01,32.01
271,Pacifica,75,US,1562525037,87,37.61,-122.49,66.0,5.82
272,Mecca,40,SA,1562524879,30,21.43,39.83,87.71,7.38
273,Russell,75,US,1562525038,54,38.9,-98.86,88.0,9.17
274,San Carlos de Bariloche,75,AR,1562525038,78,-41.13,-71.31,44.6,4.7
275,Baruun-Urt,71,MN,1562525038,71,46.68,113.28,58.55,5.55
276,Dargaville,58,NZ,1562525038,70,-35.94,173.86,56.21,19.48
277,Souillac,0,FR,1562525039,54,45.6,-0.6,82.4,11.41
278,Gizo,20,IL,1562525039,74,31.8,34.94,81.0,6.93
279,Waipawa,5,NZ,1562525039,81,-39.94,176.59,48.0,8.01
280,Odienne,66,CI,1562525039,88,9.51,-7.57,79.25,4.45
281,Mahajanga,0,MG,1562525039,78,-15.72,46.32,78.8,4.7
