,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
282,Kargasok,79,RU,1562525040,87,59.06,80.87,57.29,12.19
283,Bima,16,ID,1562525040,96,-8.45,118.73,63.05,2.48
284,Sao Filipe,0,CV,1562525040,83,14.9,-24.5,72.77,14.74
285,Corinto,40,CO,1562525040,51,3.17,-76.26,84.2,5.82
286,Athabasca,100,CA,1562525041,90,54.72,-113.29,58.37,1.52
287,Dingle,39,PH,1562525041,90,11.0,122.67,74.93,1.79
288,Terrak,75,NO,1562525041,76,65.09,12.37,54.0,10.29
289,Plettenberg Bay,86,ZA,1562525041,78,-34.05,23.37,54.59,6.58
290,Sao Miguel do Araguaia,0,BR,1562524828,23,-13.28,-50.16,89.69,8.23
291,Chapais,1,CA,1562525042,34,49.78,-74.86,68.0,9.17
292,Bambous Virieux,40,MU,1562525042,78,-20.34,57.76,73.4,9.17
293,Coquimbo,0,CL,1562525042,72,-29.95,-71.34,62.01,9.17
294,Ossora,98,RU,1562525042,94,59.24,163.07,46.31,2.75
295,Veraval,90,FR,1562525043,77,49.65,0.71,68.0,10.29
296,Barabai,68,ID,1562525043,93,-2.59,115.38,71.33,2.28
297,Patiya,90,BD,1562525043,100,22.3,91.98,82.4,17.22
298,Soyo,49,AO,1562525043,82,-6.13,12.37,74.39,9.6
299,Oranjemund,11,ZA,1562525043,92,-28.55,16.43,57.11,13.71
300,Katobu,69,ID,1562525044,92,-4.94,122.53,69.17,2.28
301,Mwinilunga,64,ZM,1562525044,30,-11.73,24.43,57.47,4.07
302,Narsaq,67,GL,1562525044,22,60.91,-46.05,64.4,35.57
303,Geneva,20,FR,1562525044,39,46.2,6.15,82.4,6.93
304,Atherton,4,AU,1562525044,88,-17.27,145.48,68.0,5.82
305,Saryagash,10,KZ,1562525045,42,41.45,69.17,84.2,4.7
306,Baffa,14,PK,1562525045,61,34.44,73.22,75.29,5.53
307,Quelimane,0,MZ,1562525045,77,-17.88,36.89,69.8,4.7
308,Makakilo City,20,US,1562524800,58,21.35,-158.09,82.99,9.17
309,Maragogi,34,BR,1562524906,71,-9.01,-35.22,80.69,8.75
310,Kungur,23,RU,1562525046,93,57.43,56.94,52.79,7.54
311,Cherskiy,42,RU,1562525047,49,68.75,161.3,63.23,17.07
312,Pochutla,5,MX,1562525047,41,15.74,-96.47,95.0,5.59
313,Emerald,75,AU,1562525047,93,-23.53,148.16,62.6,5.82
314,Ikwiriri,59,TZ,1562525047,76,-7.96,38.99,74.03,5.73
315,Khudat,95,AZ,1562525048,53,41.63,48.68,69.35,4.61
316,El Carmen,0,AR,1562525048,58,-24.39,-65.26,60.8,2.24
317,Hofn,35,IS,1562525048,92,64.25,-15.21,39.65,2.71
318,Lokosovo,100,RU,1562525048,80,61.13,74.84,56.93,4.81
319,Turan,99,RU,1562525049,65,52.15,93.92,56.75,2.53
320,Margate,60,AU,1562525049,93,-43.03,147.26,42.01,6.93
321,Vaasa,0,FI,1562525049,67,63.1,21.62,59.0,12.75
322,Iranshahr,0,IR,1562525049,8,27.21,60.69,100.4,6.93
323,Imbituba,0,BR,1562525049,55,-28.24,-48.67,62.6,6.93
324,Katangli,77,RU,1562525050,96,51.71,143.23,54.05,2.06
325,Kochevo,20,BG,1562525050,51,42.1,24.92,80.6,5.82
326,Palana,44,RU,1562525050,77,59.08,159.95,49.55,6.67
327,Buchanan,75,LR,1562525050,94,5.88,-10.05,77.0,5.82
328,Karratha,0,AU,1562525051,67,-20.74,116.85,63.77,2.66
329,Rome,0,IT,1562524912,70,41.89,12.48,84.99,10.29
330,Lawrenceburg,75,US,1562525035,83,35.24,-87.33,87.01,6.93
331,Ancud,90,CL,1562525051,100,-41.87,-73.83,50.0,18.34
332,Mutsu,75,JP,1562525051,87,41.29,141.2,60.8,5.82
333,Huarmey,100,PE,1562525052,86,-10.07,-78.15,63.77,13.29
334,Anori,100,BR,1562525052,59,-3.74,-61.66,86.45,5.39
335,Acapulco,5,MX,1562525052,66,16.86,-99.88,89.6,3.36
336,Guerrero Negro,46,MX,1562525052,83,27.97,-114.04,63.23,8.66
337,Methoni,0,GR,1562525053,39,36.82,21.7,84.2,8.34
338,Caravelas,86,BR,1562525053,70,-17.73,-39.27,71.51,16.96
339,Newcastle,76,AU,1562524914,100,-32.93,151.78,54.0,6.93
340,Biltine,3,TD,1562525053,14,14.53,20.93,99.41,3.29
341,Acari,1,BR,1562525054,23,-6.44,-36.64,94.55,8.14
342,Raton,1,US,1562525054,49,36.9,-104.44,80.6,5.82
343,Hamilton,40,CA,1562524947,64,43.26,-79.87,79.0,13.87
344,San Patricio,24,PY,1562525054,46,-26.98,-56.83,56.03,4.23
345,Andrews,1,US,1562525054,45,32.32,-102.55,87.8,4.7
346,Bandarbeyla,17,SO,1562525055,43,9.49,50.81,87.53,21.47
347,Qasigiannguit,20,GL,1562525055,46,68.82,-51.19,53.6,4.7
348,Vila Velha,40,BR,1562525055,66,-3.71,-38.6,86.0,10.29
349,Codrington,90,AU,1562525055,93,-28.95,153.24,57.2,4.7
350,Georgiyevka,85,RU,1562525056,97,52.25,40.45,57.47,6.06
351,Salalah,75,OM,1562525056,83,17.01,54.1,84.2,5.82
352,Uige,87,AO,1562525056,40,-7.61,15.06,70.61,1.48
353,Tessalit,74,ML,1562525056,14,20.2,1.01,102.11,10.6
354,Kitimat,75,CA,1562525057,68,54.02,-128.69,68.0,5.82
355,Portland,20,US,1562524815,38,43.66,-70.25,84.0,10.29
356,Iquitos,90,PE,1562524902,319,-3.75,-73.25,42.8,5.82
357,Hastings,5,NZ,1562525000,86,-39.64,176.84,42.53,4.76
358,Povenets,73,RU,1562525057,88,62.85,34.83,57.65,8.77
359,Manacapuru,75,BR,1562525057,69,-3.3,-60.62,82.4,9.17
360,Havoysund,0,NO,1562525058,39,71.0,24.66,62.6,26.4
361,Lasa,0,CY,1562525058,88,34.92,32.53,80.6,6.93
362,Ardino,20,BG,1562525058,51,41.58,25.13,80.6,5.82
363,Botwood,20,CA,1562525058,43,49.14,-55.34,73.4,16.11
364,Pangai,75,TO,1562525058,100,-19.8,-174.35,75.2,9.17
365,Cayenne,0,GF,1562525059,58,4.94,-52.33,87.8,11.41
366,Muros,90,ES,1562525059,82,42.77,-9.06,70.0,9.17
367,Kampot,40,KH,1562525059,94,10.62,104.18,78.8,2.24
368,Norman Wells,75,CA,1562525059,62,65.28,-126.83,51.8,11.41
369,Hearst,0,CA,1562524994,22,49.69,-83.67,81.59,4.94
370,Mezhdurechensk,100,RU,1562525060,97,53.69,88.07,60.17,1.45
371,Port-Cartier,75,CA,1562525060,30,50.03,-66.88,71.6,18.34
372,Hirara,100,JP,1562525060,86,24.8,125.28,83.93,14.16
373,Visby,40,SE,1562525061,82,57.64,18.3,59.0,10.29
374,Ilulissat,20,GL,1562525061,46,69.22,-51.1,53.6,4.7
375,Benjamin Aceval,0,PY,1562525061,31,-24.97,-57.57,64.4,3.36
376,Chumikan,56,RU,1562525061,99,54.72,135.31,50.63,4.68
377,Cabo San Lucas,90,MX,1562524974,33,22.89,-109.91,98.01,8.05
378,Luancheng,0,CN,1562525062,83,37.88,114.65,69.8,3.33
379,Dali,50,CN,1562525062,45,34.79,109.94,75.29,10.13
380,Kenora,5,CA,1562525062,43,49.76,-94.48,73.4,9.17
381,Karonga,11,MW,1562525062,91,-9.94,33.93,56.57,1.9
382,Urucara,99,BR,1562525063,50,-2.54,-57.76,90.77,2.68
383,Yuanping,51,CN,1562525063,91,38.72,112.71,53.87,3.85
384,Port Moresby,30,PG,1562525063,86,-9.47,147.16,77.27,16.71
385,Wuzhou,100,CN,1562525063,96,23.48,111.3,77.45,1.74
386,Vao,36,EE,1562525064,77,59.1,26.19,56.75,5.5
387,Redding,1,US,1562524945,30,40.59,-122.39,87.01,3.11
388,Vladyslavivka,86,UA,1562525064,64,50.53,25.74,66.0,4.0
389,Vila Franca do Campo,75,PT,1562525064,83,37.72,-25.43,69.8,4.7
390,Alta Floresta,0,BR,1562525064,31,-9.87,-56.08,89.6,5.82
391,Tezu,100,IN,1562525065,97,27.93,96.16,71.87,1.72
392,San Francisco,100,CO,1562524842,99,1.17,-76.88,51.17,3.98
393,Raudeberg,20,NO,1562525065,67,61.99,5.14,60.8,18.34
394,Broken Hill,90,AU,1562525066,87,-31.97,141.45,53.6,11.41
395,Biak,77,ID,1562525066,97,-0.91,122.88,59.09,4.12
396,Severobaykalsk,93,RU,1562525066,76,55.65,109.32,50.27,1.34
397,Imeni Zhelyabova,66,RU,1562525066,79,58.95,36.6,56.39,2.26
398,Delitzsch,0,DE,1562525067,45,51.53,12.34,64.99,14.99
399,Catuday,83,PH,1562525067,80,16.29,119.81,83.75,15.77
400,Teya,40,MX,1562525067,49,21.05,-89.07,93.2,9.17
401,Udomlya,62,RU,1562525067,81,57.88,35.0,54.23,1.88
402,Kanker,74,IN,1562525068,87,20.27,81.49,75.83,9.84
403,Dengzhou,61,CN,1562525068,53,32.69,112.08,74.39,6.89
404,Santa Lucia,0,IT,1562525068,70,41.98,12.66,84.99,10.29
405,Channel-Port aux Basques,0,CA,1562525068,86,47.57,-59.14,51.53,16.93
406,West Monroe,90,US,1562525068,94,32.52,-92.15,78.8,13.87
407,Dunedin,100,NZ,1562525069,72,-45.87,170.5,44.01,32.01
408,Hualmay,95,PE,1562525069,85,-11.1,-77.61,63.59,12.28
409,Vestmannaeyjar,0,IS,1562525069,75,63.44,-20.27,53.69,15.77
410,Kandava,95,LV,1562525069,94,57.04,22.77,54.77,5.61
411,Faanui,10,PF,1562525070,82,-16.48,-151.75,78.35,14.56
412,Poum,20,MK,1562525070,44,41.28,20.71,78.8,4.7
413,Gazojak,22,TM,1562525070,18,41.19,61.4,94.01,20.98
414,Petropavlovsk-Kamchatskiy,90,RU,1562525039,100,53.05,158.65,48.2,4.47
415,Trelleborg,40,SE,1562525070,87,55.38,13.15,61.0,10.29
416,Tura,15,RU,1562525071,89,64.27,100.22,54.23,5.77
417,Macusani,0,PE,1562525071,30,-14.07,-70.43,50.27,7.11
418,Fortuna Foothills,1,US,1562525063,21,32.66,-114.41,96.01,12.75
419,Cockburn Town,40,TC,1562525071,62,21.46,-71.14,89.6,11.41
420,Camacha,40,PT,1562525071,73,33.08,-16.33,75.2,16.11
421,Dalbandin,0,PK,1562525072,10,28.9,64.41,89.51,8.03
422,Nilokheri,80,IN,1562525072,41,29.84,76.93,95.81,5.03
423,Olindina,56,BR,1562525072,76,-11.36,-38.33,78.17,11.12
424,Simoes,61,BR,1562525072,40,-7.6,-40.82,87.71,3.04
425,Marzuq,77,YE,1562525072,40,14.4,46.47,82.67,4.0
426,Shingu,65,JP,1562525073,96,33.72,135.99,62.51,1.9
427,Yuzhno-Kurilsk,76,RU,1562525073,95,44.03,145.86,52.07,7.61
428,Dourbali,33,TD,1562525073,38,11.81,15.86,93.65,3.67
429,Vanimo,99,PG,1562525073,76,-2.67,141.3,80.33,5.66
430,Fare,30,PF,1562525073,85,-16.7,-151.02,77.81,15.39
431,Vigeland,20,NO,1562525074,59,58.46,8.52,63.0,6.93
432,Honningsvag,20,NO,1562525074,87,70.98,25.97,46.4,19.46
433,Muscat,0,OM,1562525047,84,23.6,58.55,89.6,3.36
434,Colares,20,PT,1562525074,68,38.8,-9.45,72.0,12.75
435,Mehamn,20,NO,1562525074,87,71.03,27.85,46.4,19.46
436,Prince Rupert,90,CA,1562525075,87,54.32,-130.32,59.0,5.82
437,Salina Cruz,8,MX,1562525075,43,16.18,-95.2,92.75,2.91
438,Moose Factory,40,CA,1562525075,38,51.26,-80.61,77.0,11.41
439,Luena,15,AO,1562525075,32,-11.78,19.91,59.81,3.69
440,Ust-Kulom,96,RU,1562525076,94,61.69,53.69,54.95,5.39
441,Liepaja,77,LV,1562525076,77,56.52,21.02,59.0,3.36
442,Carinhanha,27,BR,1562525076,37,-14.3,-43.77,86.63,5.19
443,Socota,60,PE,1562525077,55,-6.32,-78.7,68.99,13.24
444,Champerico,20,MX,1562525077,48,16.38,-93.6,87.8,8.05
445,Jardim de Piranhas,4,BR,1562525077,28,-6.38,-37.35,92.57,8.16
446,Rincon,40,PA,1562525077,70,8.46,-82.28,87.8,13.87
447,Warora,96,IN,1562525014,79,20.23,79.0,78.89,13.31
448,Kankipadu,40,IN,1562525078,94,16.44,80.76,78.8,3.36
449,Mackay,90,CA,1562525078,100,53.65,-115.58,55.4,5.82
450,Saint George,0,GR,1562525078,54,39.45,22.34,88.0,6.93
451,Manbij,0,SY,1562525078,32,36.53,37.96,84.2,17.22
452,Zhoukou,63,CN,1562525078,60,33.63,114.64,74.39,6.87
453,Vanavara,40,RU,1562525079,93,60.35,102.28,57.29,3.42
454,Laylay,69,PH,1562525079,80,13.44,121.82,83.21,12.1
455,Tual,67,ID,1562525079,80,-5.67,132.75,78.53,19.64
456,Bulawayo,0,ZW,1562525079,15,-20.16,28.59,56.57,5.75
457,El Reno,40,US,1562525079,52,35.53,-97.96,93.0,5.82
458,Uvira,89,CD,1562525080,88,-3.41,29.14,52.43,1.7
459,Winnemucca,20,US,1562525080,21,40.97,-117.74,78.8,3.36
460,Omsukchan,96,RU,1562525080,92,62.53,155.8,43.97,3.62
461,Navolato,75,MX,1562525080,44,24.76,-107.7,97.0,7.96
462,Nemuro,72,JP,1562524898,94,43.32,145.57,51.35,9.28
463,Coihaique,75,CL,1562525081,100,-45.58,-72.07,37.4,2.24
464,Artyom,75,RU,1562525081,100,43.36,132.19,57.2,4.47
465,Nha Trang,20,VN,1562525081,74,12.24,109.19,84.2,3.36
466,Balvi,95,LV,1562525081,95,57.13,27.27,52.79,0.67
467,Severo-Yeniseyskiy,35,RU,1562525081,65,60.37,93.04,59.27,4.52
468,Mansa,75,IN,1562525082,83,23.43,72.66,84.2,8.05
469,Avera,75,US,1562525082,59,33.19,-82.53,98.01,6.93
470,San Policarpo,32,PH,1562525082,88,12.18,125.51,79.25,5.57
471,Camabatela,98,AO,1562525082,33,-8.19,15.37,71.69,3.33
472,Sorland,40,NO,1562525082,87,67.67,12.69,53.6,9.17
473,Coahuayana,48,MX,1562525083,62,18.62,-100.35,87.35,1.63
474,Durango,75,MX,1562525083,36,24.02,-104.67,78.01,12.33
475,Mvomero,81,TZ,1562525083,85,-6.3,37.45,63.77,1.7
476,Zonguldak,0,TR,1562525083,72,41.25,31.83,75.47,12.15
477,Pasewalk,75,DE,1562525084,71,53.51,13.99,57.99,13.87
478,Pacific Grove,90,US,1562524896,67,36.62,-121.92,70.0,11.41
479,Sassandra,55,CI,1562525084,85,4.95,-6.09,76.01,6.13
480,Lazarev,97,RU,1562525084,98,52.23,141.51,49.73,3.47
481,Labuhan,62,ID,1562525084,92,-2.54,115.51,69.53,1.7
482,Gorontalo,58,ID,1562525085,91,0.54,123.06,71.51,5.12
483,Teguajinal,20,HN,1562525085,74,15.37,-86.6,86.0,11.41
484,Deori Khas,97,IN,1562525085,87,23.39,79.03,77.45,17.63
485,Kalmunai,57,LK,1562525085,79,7.42,81.82,77.45,2.66
486,Singkang,75,MY,1562525085,94,2.1,102.8,77.0,7.92
487,Suruc,40,TR,1562525086,22,36.98,38.42,86.0,5.82
488,Umea,40,SE,1562525086,63,63.83,20.26,62.6,8.05
489,Westerland,75,NL,1562525086,62,52.89,4.93,62.01,12.75
490,Keita,75,NG,1562525086,78,7.1,3.65,82.4,6.93
491,Long Beach,20,US,1562525087,37,30.35,-89.15,99.0,9.17
492,The Pas,90,CA,1562525087,60,53.82,-101.24,75.2,14.99
493,Lagos,75,NG,1562524834,78,6.46,3.39,82.4,6.93
494,Ninh Binh,100,VN,1562525087,84,20.25,105.97,80.15,3.09
495,Tefe,75,BR,1562525087,78,-3.35,-64.71,77.0,10.29
496,San Quintin,80,PH,1562525088,92,17.54,120.52,74.93,2.75
497,Eyl,22,SO,1562525088,62,7.98,49.82,81.05,25.05
498,Herat,0,AF,1562525088,15,34.35,62.22,84.2,9.17
499,Faribault,40,US,1562525088,53,44.3,-93.27,84.0,3.36
500,Slatioara,32,RO,1562525088,67,45.12,23.92,74.03,1.03
501,Castlemaine,92,AU,1562525089,73,-37.07,144.22,52.0,1.72
502,Saraza,14,PH,1562525089,73,8.74,117.78,81.05,3.11
503,Vostok,15,RU,1562525089,95,46.45,135.83,62.87,1.83
504,Muzhi,100,RU,1562525089,68,65.4,64.7,54.05,8.55
505,Dagda,77,LV,1562525090,92,56.09,27.54,53.69,7.29
506,Traverse City,75,US,1562525062,47,44.76,-85.62,80.01,6.93
507,Te Anau,82,NZ,1562525090,83,-45.41,167.72,38.03,3.83
508,Shaoguan,100,CN,1562525090,97,24.81,113.59,75.47,0.56
509,Dilijan,39,AM,1562525090,85,40.74,44.87,56.93,2.37
510,Mount Isa,39,AU,1562525091,77,-20.73,139.49,64.4,10.29
511,Dunda,0,IN,1562525091,68,30.62,78.32,75.47,3.2
512,Moissala,95,TD,1562525091,88,8.34,17.77,76.01,4.09
513,Cehegin,0,ES,1562525091,24,38.09,-1.8,95.0,12.75
514,Yichun,93,CN,1562525091,95,47.72,128.88,63.77,1.57
515,Jiangyou,100,CN,1562525092,99,31.78,104.73,60.17,1.95
516,Inhambane,0,MZ,1562525092,88,-23.87,35.38,73.4,3.36
517,Bubaque,73,GW,1562525092,80,11.28,-15.83,80.15,12.08
518,Coldstream,25,GB,1562525092,76,55.65,-2.25,63.0,10.29
519,Manaus,75,BR,1562525093,78,-3.13,-59.98,82.4,4.7
520,Bozuyuk,0,TR,1562525093,43,39.91,30.04,77.0,11.41
521,Nikki,66,BJ,1562525093,71,9.94,3.21,82.13,6.82
522,Skibbereen,75,IE,1562525093,100,51.55,-9.27,59.0,5.82
523,Luderitz,0,NA,1562525094,87,-26.65,15.16,57.2,13.87
524,Yenagoa,100,NG,1562525094,94,4.92,6.26,74.57,2.84
525,Tara,75,JP,1562525094,94,33.0,130.15,75.0,5.82
526,Bathsheba,40,BB,1562525094,66,13.22,-59.52,87.8,17.22
527,Verkhnyaya Inta,86,RU,1562525095,57,65.99,60.32,57.11,6.24
528,Loreto,0,PY,1562525095,29,-23.27,-57.32,66.47,2.37
529,Turka,67,RU,1562525095,86,52.95,108.22,46.13,11.77
530,Olinda,75,AU,1562525095,93,-37.84,145.39,54.0,6.93
531,Shama,100,CN,1562525095,99,33.61,104.29,47.03,1.03
532,Bom Jesus,35,BR,1562525096,42,-9.08,-44.36,86.09,6.38
533,Bonavista,65,CA,1562525096,77,48.65,-53.11,57.29,14.23
534,Tupik,24,RU,1562525096,95,54.43,119.94,52.79,3.38
535,Aklavik,75,CA,1562525096,76,68.22,-135.01,51.8,3.36
536,Mount Gambier,0,AU,1562524984,100,-37.83,140.78,42.8,9.17
537,Gunjur,20,GM,1562525097,66,13.18,-16.76,87.8,8.05
538,Kysyl-Syr,50,RU,1562525097,97,63.9,122.77,55.13,7.87
539,Bireun,56,ID,1562525097,95,5.2,96.7,67.19,3.69
540,Caceres,28,CO,1562525097,41,5.53,-74.53,85.37,5.23
541,Wattegama,84,LK,1562525098,87,7.35,80.68,73.85,3.47
542,Nyurba,36,RU,1562525098,96,63.29,118.35,59.45,5.1
543,Makat,29,KZ,1562525098,34,47.65,53.35,81.23,8.16
544,Paamiut,99,GL,1562525098,77,61.99,-49.67,46.67,3.24
545,Namie,100,JP,1562525098,93,37.52,140.86,63.0,7.45
546,Papara,40,BR,1562525099,66,-3.98,-38.73,86.0,10.29
547,Santa Fe,89,AR,1562525099,47,-31.62,-60.7,57.99,4.0
548,San Luis,100,AR,1562525075,42,-33.3,-66.34,59.99,24.99
549,Opuwo,0,NA,1562525099,12,-18.06,13.84,63.23,8.12
550,Garowe,13,SO,1562525100,39,8.41,48.48,85.91,18.32
551,Aden,75,YE,1562525100,39,12.79,45.03,93.47,2.86
552,Mozarlandia,0,BR,1562524976,19,-14.74,-50.57,84.47,7.47
553,Det Udom,20,TH,1562525100,78,14.9,105.08,82.4,3.36
554,Blind River,1,CA,1562525100,40,46.19,-82.96,73.4,5.82
555,Olesnica,0,PL,1562525100,42,51.21,17.39,64.4,16.11
556,Chilchotla,0,MX,1562525101,32,19.25,-97.18,68.63,7.92
557,Savelugu,75,GH,1562525101,58,9.63,-0.83,88.43,6.58
558,Leningradskiy,0,RU,1562525101,67,69.38,178.42,51.71,4.07
559,Bethel,1,US,1562525101,77,60.79,-161.76,71.6,10.29
560,Alofi,100,NU,1562525102,94,-19.06,-169.92,69.8,4.7
561,Dandong,71,CN,1562525102,85,40.12,124.37,64.49,5.66
562,Jaguaruna,0,BR,1562525102,62,-28.62,-49.03,51.35,4.0
563,Cusset,36,FR,1562525102,44,46.13,3.46,84.2,5.82
564,Nizhniy Odes,100,RU,1562525103,84,63.64,54.86,55.67,4.38
565,Yar-Sale,79,RU,1562525103,51,66.83,70.83,57.83,18.54
566,Teknaf,100,BD,1562525103,79,20.86,92.31,85.55,19.3
